Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250509_170449,1,0.00,38.4
20250509_170449,2,1.23,48.9
20250509_170449,3,2.40,41.2
20250509_170449,4,3.60,54.0
20250509_170449,5,4.81,42.0
20250509_170449,6,5.94,45.2
20250509_170449,7,7.24,49.7
20250509_170449,8,8.45,43.5
20250509_170449,9,9.69,42.9
20250509_170449,10,10.94,43.4
20250509_170449,11,12.10,48.6
20250509_170449,12,13.30,42.2
20250509_170449,13,14.52,39.9
20250509_170449,14,15.73,45.0
20250509_170449,15,16.95,42.4
20250509_170449,16,18.11,48.1
20250509_170449,17,19.28,44.2
20250509_170449,18,20.47,42.4
20250509_170449,19,21.68,46.7
20250509_170449,20,22.89,46.6
20250509_170449,21,25.28,41.3
20250509_170449,22,26.48,42.2
20250509_170449,23,27.75,48.2
20250509_170449,24,28.95,38.3
20250509_170449,25,30.12,44.1
20250509_170449,26,31.27,40.0

Statistic,Value
Total Points,26
Average Speed (km/h),44.2
Maximum Speed (km/h),54.0
Minimum Speed (km/h),38.3
